,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,152624383,446551.0,1428976.0,272.0,144973693.0,340260.0,6221714.0,11727.0,,,,,,Asia,,,,,,
1,,North America,100284014,103608.0,1469671.0,487.0,95117869.0,50340.0,3696474.0,7725.0,,,,,,North America,,,,,,
2,,South America,57268712,19625.0,1297274.0,142.0,53234187.0,1724.0,2737251.0,10533.0,,,,,,South America,,,,,,
3,,Europe,195083236,152408.0,1834850.0,810.0,183055892.0,356844.0,10192494.0,7361.0,,,,,,Europe,,,,,,
4,,Oceania,8201374,63600.0,11645.0,56.0,7699943.0,66437.0,489786.0,152.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,12081341,8215.0,254548.0,34.0,11246279.0,7323.0,580514.0,957.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,525543781,794007.0,6296979.0,1801.0,495328569.0,822928.0,23918233.0,38455.0,67422.0,807.8,,,,All,,,,,,
8,1.0,China,222582,212.0,5218.0,1.0,212342.0,394.0,5022.0,286.0,155.0,4.0,160000000.0,111163.0,1439323776.0,Asia,6466.0,275838.0,9.0,0.1,,3.0
9,2.0,USA,84799040,88149.0,1028337.0,201.0,81491282.0,44141.0,2279421.0,2269.0,253401.0,3073.0,1020873035.0,3050623.0,334644090.0,North America,4.0,325.0,0.0,263.0,0.6,6811.0
10,3.0,India,43131822,2259.0,524323.0,20.0,42592455.0,2614.0,15044.0,698.0,30689.0,373.0,845404172.0,601515.0,1405458235.0,Asia,33.0,2681.0,2.0,2.0,0.01,11.0
11,4.0,Brazil,30752226,10415.0,665491.0,115.0,29746640.0,,340095.0,8318.0,142772.0,3090.0,63776166.0,296091.0,215394113.0,South America,7.0,324.0,3.0,48.0,0.5,1579.0
12,5.0,France,29291146,27842.0,147715.0,67.0,28448155.0,52839.0,695276.0,1173.0,446890.0,2254.0,271490188.0,4142076.0,65544470.0,Europe,2.0,444.0,0.0,425.0,1.0,10608.0
13,6.0,Germany,26013283,56446.0,138488.0,139.0,24425500.0,126500.0,1449295.0,944.0,308629.0,1643.0,122332384.0,1451387.0,84286530.0,Europe,3.0,609.0,1.0,670.0,2.0,17195.0
14,7.0,UK,22232377,4882.0,177890.0,169.0,21774064.0,39871.0,280423.0,188.0,324300.0,2595.0,522526476.0,7622001.0,68555028.0,Europe,3.0,385.0,0.0,71.0,2.0,4090.0
15,8.0,Russia,18278617,4927.0,378072.0,97.0,17670628.0,5952.0,229917.0,2300.0,125152.0,2589.0,273400000.0,1871938.0,146051848.0,Europe,8.0,386.0,1.0,34.0,0.7,1574.0
16,9.0,S. Korea,17889849,28105.0,23842.0,40.0,17251847.0,37740.0,614160.0,274.0,348377.0,464.0,15804065.0,307760.0,51351956.0,Asia,3.0,2154.0,3.0,547.0,0.8,11960.0
17,10.0,Italy,17178199,30310.0,165738.0,108.0,16119286.0,90017.0,893175.0,308.0,284902.0,2749.0,218805421.0,3628911.0,60295056.0,Europe,4.0,364.0,0.0,503.0,2.0,14813.0
18,11.0,Turkey,15060112,1485.0,98918.0,4.0,14957668.0,1389.0,3526.0,975.0,175033.0,1150.0,161284037.0,1874488.0,86041641.0,Asia,6.0,870.0,1.0,17.0,0.05,41.0
19,12.0,Spain,12179234,,105642.0,,11588576.0,,485016.0,339.0,260303.0,2258.0,471036328.0,10067299.0,46788750.0,Europe,4.0,443.0,0.0,,,10366.0
20,13.0,Vietnam,10704524,1716.0,43073.0,1.0,9382881.0,9587.0,1278570.0,333.0,108147.0,435.0,85813173.0,866960.0,98981674.0,Asia,9.0,2298.0,1.0,17.0,0.01,12917.0
21,14.0,Argentina,9135308,,128776.0,,8895999.0,,110533.0,300.0,198707.0,2801.0,35716069.0,776878.0,45973834.0,South America,5.0,357.0,1.0,,,2404.0
22,15.0,Japan,8474651,41527.0,30175.0,53.0,8096825.0,45571.0,347651.0,110.0,67393.0,240.0,50996891.0,405541.0,125750222.0,Asia,15.0,4167.0,2.0,330.0,0.4,2765.0
23,16.0,Netherlands,8074146,1442.0,22301.0,4.0,8004183.0,2496.0,47662.0,42.0,469263.0,1296.0,21107399.0,1226747.0,17205997.0,Europe,2.0,772.0,1.0,84.0,0.2,2770.0
24,17.0,Iran,7229354,280.0,141253.0,9.0,7028491.0,1758.0,59610.0,731.0,84053.0,1642.0,51877878.0,603163.0,86009781.0,Asia,12.0,609.0,2.0,3.0,0.1,693.0
25,18.0,Australia,6813906,54352.0,7976.0,50.0,6427331.0,56865.0,378599.0,119.0,261521.0,306.0,70968541.0,2723804.0,26054940.0,Australia/Oceania,4.0,3267.0,0.0,2086.0,2.0,14531.0
26,19.0,Colombia,6099111,543.0,139833.0,2.0,5930545.0,246.0,28733.0,342.0,117516.0,2694.0,34792844.0,670378.0,51900355.0,South America,9.0,371.0,1.0,10.0,0.04,554.0
27,20.0,Indonesia,6051850,318.0,156510.0,12.0,5891574.0,384.0,3766.0,2771.0,21695.0,561.0,97850450.0,350782.0,278949805.0,Asia,46.0,1782.0,3.0,1.0,0.04,14.0
28,21.0,Poland,6004786,359.0,116242.0,12.0,5335190.0,27.0,553354.0,981.0,158988.0,3078.0,36258589.0,960013.0,37768856.0,Europe,6.0,325.0,1.0,10.0,0.3,14651.0
29,22.0,Mexico,5752441,,324617.0,,5050420.0,,377404.0,4798.0,43753.0,2469.0,15897804.0,120920.0,131474101.0,North America,23.0,405.0,8.0,,,2871.0
30,23.0,Ukraine,5009301,,108497.0,,,,,177.0,115846.0,2509.0,19521252.0,451453.0,43240982.0,Europe,9.0,399.0,2.0,,,19490.0
31,24.0,Malaysia,4485419,2124.0,35633.0,3.0,4419997.0,2303.0,29789.0,35.0,135331.0,1075.0,59480955.0,1794625.0,33143949.0,Asia,7.0,930.0,1.0,64.0,0.09,899.0
32,25.0,Thailand,4394915,6305.0,29640.0,42.0,4305699.0,7567.0,59576.0,1496.0,62669.0,423.0,17270775.0,246273.0,70128552.0,Asia,16.0,2366.0,4.0,90.0,0.6,850.0
33,26.0,Austria,4225674,3293.0,18328.0,8.0,4156309.0,4753.0,51037.0,58.0,464217.0,2013.0,185987121.0,20431843.0,9102807.0,Europe,2.0,497.0,0.0,362.0,0.9,5607.0
34,27.0,Belgium,4134293,2232.0,31675.0,6.0,3967010.0,5099.0,135608.0,105.0,353835.0,2711.0,33947485.0,2905406.0,11684249.0,Europe,3.0,369.0,0.0,191.0,0.5,11606.0
35,28.0,Israel,4117079,2112.0,10826.0,14.0,4083611.0,,22642.0,150.0,441462.0,1161.0,41373364.0,4436346.0,9326000.0,Asia,2.0,861.0,0.0,226.0,2.0,2428.0
36,29.0,Portugal,4066674,,22583.0,,,,,61.0,401015.0,2227.0,42123558.0,4153811.0,10140942.0,Europe,2.0,449.0,0.0,,,115168.0
37,30.0,Czechia,3917294,356.0,40262.0,3.0,3873466.0,170.0,3566.0,8.0,364527.0,3747.0,55347575.0,5150408.0,10746251.0,Europe,3.0,267.0,0.0,33.0,0.3,332.0
38,31.0,South Africa,3915258,7238.0,100898.0,31.0,3733569.0,6607.0,80791.0,192.0,64490.0,1662.0,24992827.0,411665.0,60711507.0,Africa,16.0,602.0,2.0,119.0,0.5,1331.0
39,32.0,Canada,3842433,7546.0,40627.0,240.0,3511781.0,2207.0,290025.0,370.0,100160.0,1059.0,61642137.0,1606813.0,38362980.0,North America,10.0,944.0,1.0,197.0,6.0,7560.0
40,33.0,Philippines,3688294,194.0,60452.0,,3625704.0,297.0,2138.0,480.0,32838.0,538.0,29943879.0,266601.0,112317196.0,Asia,30.0,1858.0,4.0,2.0,,19.0
41,34.0,Switzerland,3642604,,13934.0,,3564207.0,1781.0,64463.0,71.0,415189.0,1588.0,20991820.0,2392677.0,8773363.0,Europe,2.0,630.0,0.0,,,7348.0
42,35.0,Chile,3623889,6939.0,57767.0,13.0,3474895.0,1099.0,91227.0,147.0,186567.0,2974.0,37888654.0,1950605.0,19424051.0,South America,5.0,336.0,1.0,357.0,0.7,4697.0
43,36.0,Peru,3574182,444.0,213077.0,8.0,,,,196.0,105640.0,6298.0,30358848.0,897302.0,33833487.0,South America,9.0,159.0,1.0,13.0,0.2,48486.0
44,37.0,Greece,3410481,3928.0,29642.0,23.0,3328965.0,4678.0,51874.0,160.0,330231.0,2870.0,81638554.0,7904919.0,10327563.0,Europe,3.0,348.0,0.0,380.0,2.0,5023.0
45,38.0,Denmark,2979238,608.0,6312.0,8.0,2963698.0,800.0,9228.0,11.0,510978.0,1083.0,127377418.0,21846860.0,5830468.0,Europe,2.0,924.0,0.0,104.0,1.0,1583.0
46,39.0,Romania,2905055,467.0,65640.0,3.0,,,,125.0,152922.0,3455.0,23024767.0,1212021.0,18997008.0,Europe,7.0,289.0,1.0,25.0,0.2,12252.0
47,40.0,Sweden,2506607,,18908.0,,2478858.0,565.0,8841.0,7.0,245327.0,1851.0,18573144.0,1817794.0,10217408.0,Europe,4.0,540.0,1.0,,,865.0
48,41.0,Iraq,2326965,113.0,25216.0,,2300511.0,130.0,1238.0,11.0,55516.0,602.0,18546470.0,442475.0,41915340.0,Asia,18.0,1662.0,2.0,3.0,,30.0
49,42.0,Serbia,2014317,334.0,16057.0,2.0,1990640.0,858.0,7620.0,10.0,232295.0,1852.0,9632413.0,1110831.0,8671359.0,Europe,4.0,540.0,1.0,39.0,0.2,879.0
50,43.0,DPRK,1978230,262280.0,63.0,1.0,1238000.0,213280.0,740167.0,,76113.0,2.0,,,25990762.0,Asia,13.0,412552.0,,10091.0,0.04,28478.0
51,44.0,Bangladesh,1953138,35.0,29127.0,,1900354.0,216.0,23657.0,1259.0,11642.0,174.0,14071400.0,83874.0,167767559.0,Asia,86.0,5760.0,12.0,0.2,,141.0
52,45.0,Hungary,1914697,,46446.0,,1830803.0,,37448.0,21.0,199150.0,4831.0,11394556.0,1185163.0,9614340.0,Europe,5.0,207.0,1.0,,,3895.0
53,46.0,Slovakia,1787919,262.0,20073.0,4.0,1763837.0,546.0,4009.0,30.0,327182.0,3673.0,7133522.0,1305405.0,5464603.0,Europe,3.0,272.0,1.0,48.0,0.7,734.0
54,47.0,Jordan,1694216,,14048.0,,1678941.0,,1227.0,124.0,163013.0,1352.0,16670254.0,1603964.0,10393162.0,Asia,6.0,740.0,1.0,,,118.0
55,48.0,Georgia,1655221,,16811.0,,1637293.0,,1117.0,,416428.0,4229.0,16920079.0,4256834.0,3974804.0,Asia,2.0,236.0,0.0,,,281.0
56,49.0,Ireland,1551835,,7244.0,,1519930.0,14086.0,24661.0,23.0,307827.0,1437.0,12174702.0,2415011.0,5041262.0,Europe,3.0,696.0,0.0,,,4892.0
57,50.0,Pakistan,1529558,89.0,30379.0,1.0,1494141.0,,5038.0,86.0,6681.0,133.0,28413265.0,124109.0,228937482.0,Asia,150.0,7536.0,8.0,0.4,,22.0
58,51.0,Norway,1430844,313.0,3061.0,,,,,20.0,260117.0,556.0,11002430.0,2000162.0,5500770.0,Europe,4.0,1797.0,0.0,57.0,,243390.0
59,52.0,Kazakhstan,1305667,7.0,13661.0,,1291853.0,19.0,153.0,24.0,68010.0,712.0,11575012.0,602926.0,19198054.0,Asia,15.0,1405.0,2.0,0.4,,8.0
60,53.0,Singapore,1258691,4578.0,1371.0,2.0,1178334.0,2338.0,78986.0,8.0,212020.0,231.0,23875083.0,4021634.0,5936662.0,Asia,5.0,4330.0,0.0,771.0,0.3,13305.0
61,54.0,Hong Kong,1209688,291.0,9366.0,1.0,,,,5.0,158938.0,1231.0,44972952.0,5908871.0,7611090.0,Asia,6.0,813.0,0.0,38.0,0.1,155968.0
62,55.0,Morocco,1166224,124.0,16075.0,,1149340.0,99.0,809.0,293.0,30909.0,426.0,11237010.0,297817.0,37731312.0,Africa,32.0,2347.0,3.0,3.0,,21.0
63,56.0,Bulgaria,1162986,262.0,37078.0,7.0,1039980.0,3264.0,85928.0,50.0,169770.0,5413.0,9953628.0,1453010.0,6850350.0,Europe,6.0,185.0,1.0,38.0,1.0,12544.0
64,57.0,Croatia,1133139,468.0,15950.0,5.0,1113292.0,468.0,3897.0,11.0,279251.0,3931.0,4851253.0,1195542.0,4057786.0,Europe,4.0,254.0,1.0,115.0,1.0,960.0
65,58.0,Cuba,1104830,61.0,8529.0,,1095895.0,110.0,406.0,23.0,97655.0,754.0,12920253.0,1142006.0,11313647.0,North America,10.0,1326.0,1.0,5.0,,36.0
66,59.0,Lebanon,1098313,81.0,10414.0,2.0,1085397.0,195.0,2502.0,186.0,162278.0,1539.0,4795578.0,708554.0,6768116.0,Asia,6.0,650.0,1.0,12.0,0.3,370.0
67,60.0,Finland,1081225,11485.0,4406.0,122.0,,,,21.0,194575.0,793.0,10873312.0,1956734.0,5556867.0,Europe,5.0,1261.0,1.0,2067.0,22.0,185504.0
68,61.0,New Zealand,1079557,9184.0,973.0,6.0,1022223.0,9469.0,56361.0,,215821.0,195.0,7145322.0,1428464.0,5002100.0,Australia/Oceania,5.0,5141.0,1.0,1836.0,1.0,11267.0
69,62.0,Taiwan,1070530,90347.0,1235.0,59.0,99558.0,12253.0,969737.0,,44796.0,52.0,16757230.0,701208.0,23897643.0,Asia,22.0,19350.0,1.0,3781.0,2.0,40579.0
70,63.0,Lithuania,1061246,166.0,9129.0,1.0,1034435.0,374.0,17682.0,11.0,400308.0,3444.0,9963591.0,3758324.0,2651073.0,Europe,2.0,290.0,0.0,63.0,0.4,6670.0
71,64.0,Tunisia,1041789,,28628.0,,,,,29.0,86451.0,2376.0,4607327.0,382331.0,12050625.0,Africa,12.0,421.0,3.0,,,-1128.16
72,65.0,Slovenia,1021554,410.0,6628.0,1.0,1007420.0,1012.0,7506.0,8.0,491256.0,3187.0,2660311.0,1279319.0,2079474.0,Europe,2.0,314.0,1.0,197.0,0.5,3610.0
73,66.0,Belarus,982867,,6978.0,,,,,,104079.0,739.0,13220483.0,1399957.0,9443492.0,Europe,10.0,1353.0,1.0,,,5014.0
74,67.0,Nepal,979040,12.0,11952.0,,966938.0,9.0,150.0,,32505.0,397.0,5679687.0,188570.0,30119817.0,Asia,31.0,2520.0,5.0,0.4,,5.0
75,68.0,Bolivia,906597,135.0,21943.0,,864803.0,244.0,19851.0,220.0,75728.0,1833.0,2705422.0,225984.0,11971730.0,South America,13.0,546.0,4.0,11.0,,1658.0
76,69.0,UAE,903731,349.0,2302.0,,887546.0,391.0,13883.0,,89349.0,228.0,159818065.0,15800758.0,10114582.0,Asia,11.0,4394.0,0.0,35.0,,1373.0
77,70.0,Uruguay,902540,,7213.0,,892434.0,,2893.0,18.0,258140.0,2063.0,6114822.0,1748933.0,3496315.0,South America,4.0,485.0,1.0,,,827.0
78,71.0,Costa Rica,877533,,8472.0,,848035.0,,21026.0,38.0,169363.0,1635.0,4487906.0,866159.0,5181388.0,North America,6.0,612.0,1.0,,,4058.0
79,72.0,Ecuador,873609,533.0,35613.0,2.0,,,,759.0,48144.0,1963.0,2470170.0,136130.0,18145624.0,South America,21.0,510.0,7.0,29.0,0.1,21720.0
80,73.0,Guatemala,854891,817.0,17892.0,28.0,834528.0,671.0,2471.0,5.0,46118.0,965.0,4585934.0,247391.0,18537204.0,North America,22.0,1036.0,4.0,44.0,2.0,133.0
81,74.0,Latvia,826735,229.0,5813.0,2.0,817952.0,198.0,2970.0,6.0,447587.0,3147.0,7233627.0,3916218.0,1847095.0,Europe,2.0,318.0,0.0,124.0,1.0,1608.0
82,75.0,Panama,821500,3842.0,8211.0,,783811.0,1707.0,29478.0,16.0,184932.0,1848.0,6090843.0,1371138.0,4442181.0,North America,5.0,541.0,1.0,865.0,,6636.0
83,76.0,Azerbaijan,792695,10.0,9710.0,1.0,782936.0,2.0,49.0,,76881.0,942.0,6865181.0,665835.0,10310630.0,Asia,13.0,1062.0,2.0,1.0,0.1,5.0
84,77.0,Saudi Arabia,761624,545.0,9124.0,1.0,746013.0,616.0,6487.0,81.0,21256.0,255.0,42232307.0,1178655.0,35830934.0,Asia,47.0,3927.0,1.0,15.0,0.03,181.0
85,78.0,Sri Lanka,663735,15.0,16512.0,1.0,646930.0,2.0,293.0,,30755.0,765.0,6486117.0,300538.0,21581686.0,Asia,33.0,1307.0,3.0,0.7,0.05,14.0
86,79.0,Paraguay,649929,,18881.0,,624673.0,,6375.0,2.0,89069.0,2588.0,2633737.0,360939.0,7296902.0,South America,11.0,386.0,3.0,,,874.0
87,80.0,Kuwait,632474,,2555.0,,629392.0,,527.0,3.0,144103.0,582.0,8088043.0,1842778.0,4389050.0,Asia,7.0,1718.0,1.0,,,120.0
88,81.0,Myanmar,613186,4.0,19434.0,,592130.0,,1622.0,,11130.0,353.0,8110213.0,147207.0,55094108.0,Asia,90.0,2835.0,7.0,0.07,,29.0
89,82.0,Palestine,582246,,5355.0,,576764.0,,127.0,17.0,109366.0,1006.0,3078533.0,578256.0,5323827.0,Asia,9.0,994.0,2.0,,,24.0
90,83.0,Dominican Republic,581044,383.0,4377.0,,576006.0,258.0,661.0,1.0,52574.0,396.0,3317138.0,300139.0,11051995.0,North America,19.0,2525.0,3.0,35.0,,60.0
91,84.0,Bahrain,579932,522.0,1480.0,,573497.0,762.0,4955.0,4.0,319968.0,817.0,9805270.0,5409891.0,1812471.0,Asia,3.0,1225.0,0.0,288.0,,2734.0
92,85.0,Estonia,575046,,2561.0,,516588.0,,55897.0,4.0,432948.0,1928.0,3357306.0,2527694.0,1328209.0,Europe,2.0,519.0,0.0,,,42084.0
93,86.0,Venezuela,523174,25.0,5715.0,1.0,516409.0,81.0,1050.0,230.0,18497.0,202.0,3359014.0,118757.0,28284813.0,South America,54.0,4949.0,8.0,0.9,0.04,37.0
94,87.0,Moldova,517753,767.0,11503.0,14.0,504142.0,,2108.0,49.0,128910.0,2864.0,3216305.0,800798.0,4016377.0,Europe,8.0,349.0,1.0,191.0,3.0,525.0
95,88.0,Egypt,515645,,24613.0,,442182.0,,48850.0,122.0,4867.0,232.0,3693367.0,34858.0,105954794.0,Africa,205.0,4305.0,29.0,,,461.0
96,89.0,Libya,501904,,6430.0,,490973.0,,4501.0,101.0,71227.0,912.0,2477219.0,351549.0,7046577.0,Africa,14.0,1096.0,3.0,,,639.0
97,90.0,Cyprus,477711,,1032.0,,124370.0,,352309.0,60.0,390335.0,843.0,9477138.0,7743721.0,1223848.0,Asia,3.0,1186.0,0.0,,,287870.0
98,91.0,Ethiopia,471145,56.0,7512.0,,455809.0,1.0,7824.0,6.0,3916.0,62.0,4855390.0,40359.0,120304131.0,Africa,255.0,16015.0,25.0,0.5,,65.0
99,92.0,Mongolia,469885,,2179.0,,313256.0,,154450.0,192.0,139129.0,645.0,4030048.0,1193267.0,3377322.0,Asia,7.0,1550.0,1.0,,,45731.0
100,93.0,Honduras,424771,,10896.0,,132401.0,,281474.0,105.0,41644.0,1068.0,1369816.0,134294.0,10200113.0,North America,24.0,936.0,7.0,,,27595.0
101,94.0,Armenia,422917,,8623.0,,412071.0,,2223.0,,142222.0,2900.0,3078174.0,1035156.0,2973633.0,Asia,7.0,345.0,1.0,,,748.0
102,95.0,Réunion,411363,,770.0,,403795.0,,6798.0,10.0,453393.0,849.0,1603660.0,1767510.0,907299.0,Africa,2.0,1178.0,1.0,,,7493.0
103,96.0,Oman,389473,13.0,4260.0,,384669.0,33.0,544.0,2.0,72796.0,796.0,25000000.0,4672731.0,5350190.0,Asia,14.0,1256.0,0.0,2.0,,102.0
104,97.0,Bosnia and Herzegovina,377677,29.0,15783.0,,,,,,116475.0,4867.0,1770766.0,546104.0,3242546.0,Europe,9.0,205.0,2.0,9.0,,52328.0
105,98.0,Qatar,366724,121.0,677.0,,365033.0,114.0,1014.0,,130609.0,241.0,3500885.0,1246841.0,2807805.0,Asia,8.0,4147.0,1.0,43.0,,361.0
106,99.0,Kenya,324129,32.0,5649.0,,318224.0,19.0,256.0,,5789.0,101.0,3642521.0,65053.0,55992771.0,Africa,173.0,9912.0,15.0,0.6,,5.0
107,100.0,Zambia,320945,265.0,3984.0,1.0,316263.0,124.0,698.0,1.0,16587.0,206.0,3461971.0,178918.0,19349442.0,Africa,60.0,4857.0,6.0,14.0,0.05,36.0
108,101.0,North Macedonia,311113,75.0,9296.0,3.0,301275.0,73.0,542.0,,149343.0,4462.0,2040024.0,979268.0,2083214.0,Europe,7.0,224.0,1.0,36.0,1.0,260.0
109,102.0,Botswana,306614,,2692.0,,303619.0,,303.0,1.0,125626.0,1103.0,2026898.0,830462.0,2440687.0,Africa,8.0,907.0,1.0,,,124.0
110,103.0,Albania,275732,,3497.0,,271975.0,,260.0,2.0,96010.0,1218.0,1819846.0,633673.0,2871903.0,Europe,10.0,821.0,2.0,,,91.0
111,104.0,Algeria,265841,7.0,6875.0,,178376.0,,80590.0,6.0,5864.0,152.0,230861.0,5092.0,45336349.0,Africa,171.0,6594.0,196.0,0.2,,1778.0
112,105.0,Nigeria,255924,35.0,3143.0,,249977.0,16.0,2804.0,11.0,1186.0,15.0,5152011.0,23883.0,215721432.0,Africa,843.0,68636.0,42.0,0.2,,13.0
