Unnamed: 0,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date,Tests/  1M pop,Country,Tot. Area (Km²),Tot. Area (mi²),Land Area (Km²),Land Area (mi²),% of world landmass
0,,Asia,145809281.0,147568.0,1416371.0,490.0,124203756.0,128362.0,20189154.0,13684.0,,,,,,Asia,,,,,,,2022-04-18,,,,,,,
1,,North America,97472753.0,35540.0,1453298.0,143.0,93607699.0,49775.0,2411756.0,6958.0,,,,,,North America,,,,,,,2022-04-18,,,,,,,
2,,South America,56559628.0,10586.0,1292153.0,99.0,52573223.0,49331.0,2694252.0,11022.0,,,,,,South America,,,,,,,2022-04-18,,,,,,,
3,,Europe,187054397.0,120322.0,1800185.0,693.0,169134385.0,730271.0,16119827.0,9212.0,,,,,,Europe,,,,,,,2022-04-18,,,,,,,
4,,Oceania,6537166.0,40610.0,10016.0,19.0,6027101.0,56266.0,500049.0,174.0,,,,,,Australia/Oceania,,,,,,,2022-04-18,,,,,,,
5,,Africa,11829514.0,1139.0,253519.0,39.0,11059920.0,820.0,516075.0,964.0,,,,,,Africa,,,,,,,2022-04-18,,,,,,,
6,,,721.0,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,,2022-04-18,,,,,,,
7,,World,505263460.0,355765.0,6225557.0,1483.0,456606790.0,1014825.0,42431113.0,42014.0,64821.0,798.7,,,,All,,,,,,,2022-04-18,,,,,,,
8,1.0,China,185035.0,2742.0,4641.0,3.0,151407.0,1637.0,28987.0,71.0,129.0,3.0,160000000.0,111163.0,1439323776.0,Asia,7779.0,310132.0,9.0,2.0,,20.0,2022-04-18,,,,,,,
9,2.0,USA,82383494.0,26881.0,1015821.0,109.0,80244093.0,41383.0,1123580.0,1438.0,246299.0,3037.0,996639125.0,2979620.0,334485290.0,North America,4.0,329.0,0.0,80.0,0.3,3359.0,2022-04-18,,,,,,,
10,3.0,India,43045527.0,1247.0,521996.0,31.0,42511701.0,928.0,11830.0,698.0,30652.0,372.0,832104846.0,592521.0,1404347026.0,Asia,33.0,2690.0,2.0,0.9,0.02,8.0,2022-04-18,,,,,,,
11,4.0,Brazil,30261088.0,8470.0,662076.0,65.0,29262483.0,35432.0,336529.0,8318.0,140572.0,3076.0,63776166.0,296261.0,215270453.0,South America,7.0,325.0,3.0,39.0,0.3,1563.0,2022-04-18,,,,,,,
12,5.0,France,27790834.0,19810.0,144205.0,48.0,25132351.0,217445.0,2514278.0,1541.0,424076.0,2201.0,260504402.0,3975184.0,65532665.0,Europe,2.0,454.0,0.0,302.0,0.7,38367.0,2022-04-18,,,,,,,
13,6.0,Germany,23457596.0,19303.0,133437.0,8.0,20085800.0,205500.0,3238359.0,1980.0,278380.0,1584.0,122332384.0,1451764.0,84264628.0,Europe,4.0,631.0,1.0,229.0,0.09,38431.0,2022-04-18,,,,,,,
14,7.0,UK,21845098.0,18846.0,171781.0,97.0,20306336.0,109212.0,1366981.0,355.0,318786.0,2507.0,512140269.0,7473679.0,68525857.0,Europe,3.0,399.0,0.0,275.0,1.0,19948.0,2022-04-18,,,,,,,
15,8.0,Russia,18084151.0,9434.0,373713.0,213.0,17390465.0,14324.0,319973.0,2300.0,123824.0,2559.0,273400000.0,1872003.0,146046737.0,Europe,8.0,391.0,1.0,65.0,1.0,2191.0,2022-04-18,,,,,,,
16,9.0,S. Korea,16353495.0,47743.0,21224.0,132.0,,,,850.0,318481.0,413.0,15804065.0,307781.0,51348351.0,Asia,3.0,2419.0,3.0,930.0,3.0,299187.0,2022-04-18,,,,,,,
17,10.0,Italy,15730788.0,18492.0,161766.0,79.0,14352067.0,27704.0,1216955.0,411.0,260865.0,2683.0,209276026.0,3470448.0,60302314.0,Europe,4.0,373.0,0.0,307.0,1.0,20181.0,2022-04-18,,,,,,,
18,11.0,Turkey,14999479.0,4542.0,98587.0,19.0,14763876.0,15624.0,137016.0,975.0,174479.0,1147.0,157348707.0,1830332.0,85967295.0,Asia,6.0,872.0,1.0,53.0,0.2,1594.0,2022-04-18,,,,,,,
19,12.0,Spain,11726222.0,10668.0,103656.0,65.0,11206990.0,14381.0,415576.0,368.0,250628.0,2215.0,471036328.0,10067617.0,46787271.0,Europe,4.0,451.0,0.0,228.0,1.0,8882.0,2022-04-18,,,,,,,
20,13.0,Vietnam,10475819.0,12012.0,42957.0,13.0,8941064.0,4218.0,1491798.0,1008.0,105913.0,434.0,85703689.0,866482.0,98909959.0,Asia,9.0,2303.0,1.0,121.0,0.1,15082.0,2022-04-18,,,,,,,
21,14.0,Argentina,9060923.0,,128344.0,,8895999.0,,36580.0,412.0,197234.0,2794.0,35716069.0,777452.0,45939873.0,South America,5.0,358.0,1.0,,,796.0,2022-04-18,,,,,,,
22,15.0,Netherlands,8023984.0,2075.0,22163.0,7.0,7412962.0,54216.0,588859.0,113.0,466432.0,1288.0,21107399.0,1226968.0,17202898.0,Europe,2.0,776.0,1.0,121.0,0.4,34230.0,2022-04-18,,,,,,,
23,16.0,Japan,7374251.0,39899.0,29023.0,31.0,6829906.0,44328.0,515322.0,222.0,58627.0,231.0,45700624.0,363333.0,125781818.0,Asia,17.0,4334.0,3.0,317.0,0.2,4097.0,2022-04-18,,,,,,,
24,17.0,Iran,7208968.0,2009.0,140854.0,25.0,6948946.0,3102.0,119168.0,1307.0,83902.0,1639.0,50079995.0,582856.0,85921663.0,Asia,12.0,610.0,2.0,23.0,0.3,1387.0,2022-04-18,,,,,,,
25,18.0,Colombia,6089791.0,129.0,139751.0,2.0,5923287.0,220.0,26753.0,342.0,117437.0,2695.0,34265772.0,660788.0,51855927.0,South America,9.0,371.0,2.0,2.0,0.04,516.0,2022-04-18,,,,,,,
26,19.0,Indonesia,6040432.0,559.0,155903.0,37.0,5833560.0,7831.0,50969.0,2771.0,21673.0,559.0,94216598.0,338042.0,278712873.0,Asia,46.0,1788.0,3.0,2.0,0.1,183.0,2022-04-18,,,,,,,
27,20.0,Poland,5985514.0,263.0,115838.0,,5334099.0,8.0,535577.0,268.0,158463.0,3067.0,35948483.0,951717.0,37772240.0,Europe,6.0,326.0,1.0,7.0,,14179.0,2022-04-18,,,,,,,
28,21.0,Mexico,5727668.0,1000.0,323944.0,6.0,5028436.0,683.0,375288.0,4798.0,43602.0,2466.0,15714867.0,119629.0,131363136.0,North America,23.0,406.0,8.0,8.0,0.05,2857.0,2022-04-18,,,,,,,
29,22.0,Australia,5419380.0,34270.0,6786.0,9.0,5017584.0,48476.0,395010.0,138.0,208192.0,261.0,68335670.0,2625196.0,26030697.0,Australia/Oceania,5.0,3836.0,0.0,1317.0,0.3,15175.0,2022-04-18,,,,,,,
30,23.0,Ukraine,4993164.0,304.0,108256.0,3.0,,,,177.0,115416.0,2502.0,19521252.0,451229.0,43262405.0,Europe,9.0,400.0,2.0,7.0,0.07,19113.0,2022-04-18,,,,,,,
31,24.0,Malaysia,4396165.0,7140.0,35437.0,16.0,4264127.0,14423.0,96601.0,110.0,132775.0,1070.0,57994524.0,1751573.0,33109959.0,Asia,8.0,934.0,1.0,216.0,0.5,2918.0,2022-04-18,,,,,,,
32,25.0,Austria,4059444.0,6227.0,16431.0,11.0,3918429.0,14139.0,124584.0,154.0,446161.0,1806.0,180657934.0,19855571.0,9098602.0,Europe,2.0,554.0,0.0,684.0,1.0,13693.0,2022-04-18,,,,,,,
33,26.0,Thailand,4046953.0,16994.0,27009.0,124.0,3814433.0,25910.0,205511.0,1496.0,57719.0,385.0,17270775.0,246323.0,70114236.0,Asia,17.0,2596.0,4.0,242.0,2.0,2931.0,2022-04-18,,,,,,,
